label,pattern,attr,level
plant_taxon,aageodonta,lower,species
plant_taxon,aaron-rossii,lower,species
plant_taxon,aaseae,lower,species
plant_taxon,abacta,lower,species
plant_taxon,abactus,lower,species
plant_taxon,abadiana,lower,species
plant_taxon,abaitensis,lower,species
plant_taxon,abajoensis,lower,species
plant_taxon,abakanensis,lower,species
plant_taxon,abama,lower,genus species
plant_taxon,abata,lower,species
plant_taxon,abatus,lower,species
plant_taxon,abbeae,lower,species
plant_taxon,abbei,lower,subspecies variety
plant_taxon,abbotii,lower,species
plant_taxon,abbottae,lower,species
plant_taxon,abbottia,lower,genus species
plant_taxon,abbottiae,lower,species
plant_taxon,abbottii,lower,species
plant_taxon,abbrevians,lower,species
plant_taxon,abbreviata,lower,species subspecies variety form
plant_taxon,abbreviatum,lower,species subspecies variety
plant_taxon,abbreviatus,lower,species variety
plant_taxon,abchazica,lower,species
plant_taxon,abdelkuri,lower,species
plant_taxon,abdita,lower,species subspecies
plant_taxon,abdulghafooriana,lower,species
plant_taxon,abeggii,lower,species
plant_taxon,abelia,lower,genus species
plant_taxon,abelmoschus,lower,genus species
plant_taxon,aberia,lower,species
plant_taxon,aberrans,lower,species subspecies variety
plant_taxon,aberrantia,lower,species
plant_taxon,abertianum,lower,species variety
plant_taxon,abertii,lower,species
plant_taxon,abessinica,lower,species
plant_taxon,abies,lower,genus species subspecies variety
plant_taxon,abietaceae,lower,family
plant_taxon,abieticola,lower,species
plant_taxon,abietifolia,lower,species
plant_taxon,abietina,lower,species
plant_taxon,abietinella,lower,genus species
plant_taxon,abietinum,lower,species
plant_taxon,abietinus,lower,species
plant_taxon,abietorum,lower,species
plant_taxon,abildgaardia,lower,genus species
plant_taxon,abingdonensis,lower,variety
plant_taxon,abinsica,lower,variety
plant_taxon,abitaguense,lower,species
plant_taxon,abitaguensis,lower,species variety
plant_taxon,abitibiana,lower,species
plant_taxon,abjecta,lower,species
plant_taxon,abjectus,lower,species variety
plant_taxon,ablata,lower,species variety
plant_taxon,ablatus,lower,species
plant_taxon,abnorme,lower,species
plant_taxon,abnormis,lower,species variety form
plant_taxon,aboense,lower,variety
plant_taxon,abola,lower,genus
plant_taxon,abolinii,lower,species
plant_taxon,abonari,lower,species
plant_taxon,aborea,lower,species
plant_taxon,aborigina,lower,species
plant_taxon,aboriginorum,lower,species variety
plant_taxon,aboriginum,lower,species variety
plant_taxon,aboriginus,lower,species variety
plant_taxon,aboris-vitae,lower,species
plant_taxon,abortiva,lower,species variety
plant_taxon,abortivum,lower,species
plant_taxon,abortivus,lower,species subspecies variety form
plant_taxon,abortopetalum,lower,species
plant_taxon,abrahamii,lower,species
plant_taxon,abramsiana,lower,species variety
plant_taxon,abramsii,lower,species subspecies variety
plant_taxon,abrasa,lower,variety
plant_taxon,abregoense,lower,species
plant_taxon,abreviata,lower,species
plant_taxon,abreviatum,lower,form
plant_taxon,abrodictyum,lower,genus species
plant_taxon,abronia,lower,genus species subspecies variety
plant_taxon,abrophyllaceae,lower,family
plant_taxon,abrotanelloides,lower,variety
plant_taxon,abrotanifolia,lower,subspecies
plant_taxon,abrotanoides,lower,species
plant_taxon,abrotanum,lower,species
plant_taxon,abrupta,lower,species
plant_taxon,abruptum,lower,species variety
plant_taxon,abrus,lower,genus species
plant_taxon,absarokensis,lower,species
plant_taxon,abscendens,lower,species
plant_taxon,abscissa,lower,subspecies
plant_taxon,abscissum,lower,species subspecies
plant_taxon,abscondita,lower,species variety form
plant_taxon,absconditiformis,lower,species
plant_taxon,absconditum,lower,species
plant_taxon,absconditus,lower,variety
plant_taxon,absimile,lower,species
plant_taxon,absinthifolia,lower,species variety
plant_taxon,absinthium,lower,species variety
plant_taxon,absona,lower,subspecies variety
plant_taxon,abstrusum,lower,species
plant_taxon,absus,lower,species variety
plant_taxon,abuensis,lower,species
plant_taxon,abunda,lower,species
plant_taxon,abundans,lower,species variety
plant_taxon,abundiflorus,lower,species
plant_taxon,abutifolia,lower,species
plant_taxon,abutilifolia,lower,species
plant_taxon,abutilifolium,lower,species
plant_taxon,abutilifolius,lower,species
plant_taxon,abutiloides,lower,species
plant_taxon,abutilon,lower,genus species subspecies variety
plant_taxon,abutilopsis,lower,species
plant_taxon,abysicola,lower,species
plant_taxon,abyssa,lower,subspecies variety
plant_taxon,abyssi,lower,species
plant_taxon,abyssicola,lower,species variety
plant_taxon,abyssicolum,lower,variety
plant_taxon,abyssinica,lower,species subspecies variety
plant_taxon,abyssinicum,lower,species
plant_taxon,abyssinicus,lower,species subspecies
plant_taxon,acacia,lower,genus species subspecies variety
plant_taxon,acaciaceae,lower,family
plant_taxon,acaciella,lower,species
plant_taxon,acaciiformis,lower,species
plant_taxon,acacioides,lower,species
plant_taxon,acaciopsis,lower,genus species
plant_taxon,academica,lower,species
plant_taxon,acadiense,lower,species variety
plant_taxon,acadiensis,lower,species variety
plant_taxon,acaena,lower,genus species variety
plant_taxon,acalypha,lower,genus species subspecies variety
plant_taxon,acalyphacea,lower,species variety
plant_taxon,acalyphaceus,lower,species variety
plant_taxon,acalyphoides,lower,species subspecies variety
plant_taxon,acamptoclados,lower,genus species
plant_taxon,acamptopappus,lower,genus species variety
plant_taxon,acantha,lower,species
plant_taxon,acanthaceae,lower,family
plant_taxon,acanthacolonensis,lower,species
plant_taxon,acanthelius,lower,subspecies
plant_taxon,acanthicarpa,lower,species
plant_taxon,acanthina,lower,species
plant_taxon,acanthium,lower,species subspecies
plant_taxon,acanthocalycium,lower,genus species
plant_taxon,acanthocarpa,lower,species subspecies variety
plant_taxon,acanthocarpus,lower,species
plant_taxon,acanthocaulis,lower,species
plant_taxon,acanthocereus,lower,genus species
plant_taxon,acanthochiton,lower,genus species
plant_taxon,acanthoclada,lower,species variety
plant_taxon,acanthocladium,lower,species
plant_taxon,acanthocladum,lower,species
plant_taxon,acanthocladus,lower,species subspecies
plant_taxon,acanthocoleus,lower,genus species variety
plant_taxon,acanthodapis,lower,species
plant_taxon,acanthodes,lower,species variety
plant_taxon,acanthodontum,lower,species
plant_taxon,acanthogona,lower,species
plant_taxon,acanthogonum,lower,species variety
plant_taxon,acanthoides,lower,species subspecies
plant_taxon,acantholejeunea,lower,genus
plant_taxon,acantholobivia,lower,genus species
plant_taxon,acanthomelas,lower,species variety
plant_taxon,acanthomintha,lower,genus species subspecies
plant_taxon,acanthonema,lower,genus species
plant_taxon,acanthoneura,lower,species
plant_taxon,acanthoneuron,lower,species
plant_taxon,acanthonota,lower,species subspecies
plant_taxon,acanthonotum,lower,species
plant_taxon,acanthopanax,lower,genus species
plant_taxon,acanthophora,lower,genus species
plant_taxon,acanthophylla,lower,species subspecies variety form
plant_taxon,acanthorhipsalis,lower,genus
plant_taxon,acanthoscyphus,lower,genus species variety
plant_taxon,acanthosetus,lower,subspecies
plant_taxon,acanthospermum,lower,genus species
plant_taxon,acanthosphaera,lower,genus species
plant_taxon,acanthostipa,lower,species
plant_taxon,acanthothamnos,lower,species
plant_taxon,acanthoxanthium,lower,species
plant_taxon,acanthurus,lower,species subspecies
plant_taxon,acanthus,lower,genus species variety
plant_taxon,acapulcensis,lower,species variety
plant_taxon,acarides,lower,species
plant_taxon,acarifera,lower,species
plant_taxon,acariferum,lower,species
plant_taxon,acaudatus,lower,variety
plant_taxon,acaule,lower,species variety
plant_taxon,acaulescens,lower,species subspecies variety
plant_taxon,acaulis,lower,species subspecies variety form
plant_taxon,acaulon,lower,genus species variety
plant_taxon,acca,lower,genus species
plant_taxon,accedens,lower,species variety
plant_taxon,accessita,lower,variety
plant_taxon,accidens,lower,species variety
plant_taxon,acclivatatis,lower,species
plant_taxon,accola,lower,species
plant_taxon,accrescens,lower,species subspecies
plant_taxon,accreta,lower,species
plant_taxon,accretum,lower,species
plant_taxon,accubens,lower,variety
plant_taxon,accumbens,lower,species variety
plant_taxon,acephala,lower,variety
plant_taxon,acer,lower,genus species subspecies variety
plant_taxon,aceraceae,lower,family
plant_taxon,acerales,lower,order
plant_taxon,aceras,lower,variety
plant_taxon,acerates,lower,species variety
plant_taxon,aceratoides,lower,species
plant_taxon,acerensis,lower,species
plant_taxon,acerifolia,lower,species variety
plant_taxon,acerifolium,lower,species variety
plant_taxon,acerifolius,lower,species
plant_taxon,aceroides,lower,species subspecies variety
plant_taxon,acerosa,lower,species subspecies variety
plant_taxon,acerosum,lower,species subspecies variety
plant_taxon,acerrimus,lower,species
plant_taxon,acervata,lower,species
plant_taxon,acervatus,lower,species
plant_taxon,acetabularia,lower,genus species
plant_taxon,acetabulum,lower,species variety
plant_taxon,acetosa,lower,species subspecies
plant_taxon,acetosella,lower,species subspecies variety
plant_taxon,acevedoi,lower,species
plant_taxon,achaeta,lower,genus species
plant_taxon,achaetogeron,lower,species
plant_taxon,achaetus,lower,species
plant_taxon,achalensis,lower,species variety subform
plant_taxon,achania,lower,species
plant_taxon,achanocarpa,lower,species
plant_taxon,acharagma,lower,genus species subspecies
plant_taxon,achariaceae,lower,family
plant_taxon,achatocarpaceae,lower,family
plant_taxon,achillaeoides,lower,variety
plant_taxon,achillea,lower,genus species subspecies variety
plant_taxon,achilleifolia,lower,species subspecies variety
plant_taxon,achillioides,lower,variety
plant_taxon,achimenes,lower,genus species variety form
plant_taxon,achirasense,lower,species subspecies
plant_taxon,achlaena,lower,genus species
plant_taxon,achlys,lower,genus species subspecies
plant_taxon,achlysophila,lower,species
plant_taxon,achlysophilum,lower,species
plant_taxon,achnatherum,lower,genus species subspecies variety
plant_taxon,achnella,lower,genus species
plant_taxon,achneria,lower,genus species variety
plant_taxon,achnodon,lower,genus species
plant_taxon,achnodonton,lower,genus species
plant_taxon,achondrum,lower,variety
plant_taxon,achoreum,lower,species subspecies
plant_taxon,achoreus,lower,variety
plant_taxon,achradaceae,lower,family
plant_taxon,achras,lower,species
plant_taxon,achriosporum,lower,species
plant_taxon,achrophyllum,lower,genus species
plant_taxon,achroschizocarpus,lower,species
plant_taxon,achtenii,lower,species subspecies
plant_taxon,achyrachaena,lower,genus species
plant_taxon,achyrantha,lower,species
plant_taxon,achyranthes,lower,genus species subspecies variety
plant_taxon,achyranthifolia,lower,species
plant_taxon,achyrodes,lower,genus species
plant_taxon,achyronychia,lower,genus species
plant_taxon,achyrophorus,lower,species
plant_taxon,aciachne,lower,genus species
plant_taxon,acicarpa,lower,genus species
plant_taxon,acicarpha,lower,genus species
plant_taxon,aciculare,lower,species subspecies variety
plant_taxon,acicularifolia,lower,species
plant_taxon,acicularifolium,lower,species
plant_taxon,acicularioides,lower,species
plant_taxon,acicularipungens,lower,species
plant_taxon,acicularis,lower,species subspecies variety
plant_taxon,aciculata,lower,species variety
plant_taxon,aciculatus,lower,species variety
plant_taxon,aciculifera,lower,species
plant_taxon,aciculiferum,lower,variety
plant_taxon,aciculinum,lower,variety
plant_taxon,aciculosa,lower,species
plant_taxon,acida,lower,species
plant_taxon,acidicola,lower,species
plant_taxon,acidissima,lower,species
plant_taxon,acidota,lower,species
plant_taxon,acidoton,lower,species
plant_taxon,acidua,lower,species
plant_taxon,acidula,lower,species
plant_taxon,acidus,lower,species
plant_taxon,acifer,lower,species subspecies
plant_taxon,aciliata,lower,species
plant_taxon,acinacea,lower,species
plant_taxon,acinacifolia,lower,species
plant_taxon,acinaciforme,lower,species
plant_taxon,acinaciformis,lower,species
plant_taxon,acinaciphylla,lower,species
plant_taxon,acinacispinum,lower,subspecies
plant_taxon,acinoides,lower,species
plant_taxon,acinos,lower,genus species
plant_taxon,acinosa,lower,species variety
plant_taxon,aciphylla,lower,genus species variety
plant_taxon,acisanthera,lower,genus species
plant_taxon,acispinosus,lower,species
plant_taxon,ackermanii,lower,species
plant_taxon,ackermanniana,lower,species
plant_taxon,ackermannianus,lower,species
plant_taxon,ackermannii,lower,species subspecies
plant_taxon,ackleyana,lower,species
plant_taxon,aclada,lower,species
plant_taxon,acleantha,lower,species
plant_taxon,acleisanthes,lower,genus species variety
plant_taxon,aclistocharaceae,lower,family
plant_taxon,acmella,lower,genus species variety
plant_taxon,acmenoides,lower,species
plant_taxon,acmispon,lower,genus species variety
plant_taxon,acmule,lower,species
plant_taxon,acnida,lower,genus species variety
plant_taxon,acnistus,lower,genus species
plant_taxon,acoelorraphe,lower,genus species
plant_taxon,acoelorrhaphe,lower,genus species
plant_taxon,acomanus,lower,species
plant_taxon,acomastylis,lower,genus species subspecies variety
plant_taxon,aconcaguensis,lower,species
plant_taxon,aconitaceae,lower,family
plant_taxon,aconitifolia,lower,species
plant_taxon,aconitifolium,lower,species
plant_taxon,aconitifolius,lower,species
plant_taxon,aconitum,lower,genus species subspecies variety
plant_taxon,aconogonon,lower,genus species variety
plant_taxon,aconogonum,lower,species variety
plant_taxon,aconquijaensis,lower,species
plant_taxon,acoraceae,lower,family
plant_taxon,acorales,lower,order
plant_taxon,acoroides,lower,species
plant_taxon,acorrugatum,lower,species subspecies
plant_taxon,acorus,lower,genus species variety
