label,pattern,attr,replace
collector,col,lower,collector
collector,coll,lower,collector
collector,collected,lower,collector
collector,collector,lower,collector
determiner,det,lower,determiner
determiner,determiner,lower,determiner
job,art,lower,artist
job,artist,lower,artist
job,ass,lower,assistant
job,assist,lower,assistant
job,assistant,lower,assistant
job,auth,lower,author
job,author,lower,author
job,authors,lower,author
job,cartographer,lower,cartographer
job,conservator,lower,conservator
job,contributor,lower,contributor
job,curator,lower,curator
job,curatorial,lower,curator
job,dir,lower,director
job,director,lower,director
job,ecologist,lower,ecologist
job,editor,lower,editor
job,entomologist,lower,entomologist
job,explorer,lower,explorer
job,extractor,lower,extractor
job,gardener,lower,gardener
job,geographer,lower,geographer
job,geologist,lower,geologist
job,georeferencer,lower,georeferencer
job,grower,lower,grower
job,horticulturalist,lower,horticulturalist
job,illustrator,lower,illustrator
job,manager,lower,manager
job,naturalist,lower,naturalist
job,preparator,lower,preparator
job,researcher,lower,researcher
job,volunteer,lower,volunteer
job,volunteers,lower,volunteer
job,writer,lower,writer
